rank,acci_name_ar,acci_name_normalized,count,share
201,سقوط حاوية- متوسط,سقوط حاوية - متوسط,3,0.00000417
202,حادث صدم اشارة مرورية- متوسط,حادث صدم اشارة مرورية - متوسط,3,0.00000417
203,حادث دهس رجل,حادث دهس رجل,2,0.00000278
204,حادث ضد مجهول - بليغ,حادث ضد مجهول - بليغ,2,0.00000278
205,إصابة راكب أثناء حركة المركبة - بسيط,إصابة راكب أثناء حركة المركبة - بسيط,2,0.00000278
206,وكح ئسزو - مآؼأ,وكح ئسزو - مآؼأ,2,0.00000278
207,ضصؼقلئقعنظؿ دـطمزفغن - كءطت,ضصؼقلئقعنظؿ دطمزفغن - كءطت,2,0.00000278
208,مجءد حـرلف كةضصع - ؿكزت,مجءد حرلف كةضصع - ؿكزت,2,0.00000278
209,اآة وؼلو - ؼقػأ,اآة وؼلو - ؼقػأ,2,0.00000278
210,قلخذق صأبلك غسػذؽ - ضإطآ,قلخذق صأبلك غسػذؽ - ضإطآ,2,0.00000278
211,سقوط مركبة في حفرة,سقوط مركبة في حفرة,2,0.00000278
212,صدم جسر من شاحنة عالية الارتفاع - بليغ,صدم جسر من شاحنة عالية الارتفاع - بليغ,2,0.00000278
213,حادث صدم حيوان,حادث صدم حيوان,2,0.00000278
214,حادث تدهور باص عمال او موظفين- متوسط,حادث تدهور باص عمال او موظفين - متوسط,2,0.00000278
215,حادث صدم مبنى او بيوت او معرض- متوسط,حادث صدم مبنى او بيوت او معرض - متوسط,2,0.00000278
216,سقوط مركبة من ارتفاع - بليغ,سقوط مركبة من ارتفاع - بليغ,2,0.00000278
217,صدم قطار - بليغ,صدم قطار - بليغ,2,0.00000278
218,ذندؾػك صمؽةتؽ,ذندؾػك صمؽةتؽ,1,0.00000139
219,قبئكؿذ مرظ جهتــسذ - مئرت,قبئكؿذ مرظ جهتسذ - مئرت,1,0.00000139
220,قفحغأ ءكؿقظ ثفؿؽن - عزطء,قفحغأ ءكؿقظ ثفؿؽن - عزطء,1,0.00000139
221,كقح فوضر - طإطأ,كقح فوضر - طإطأ,1,0.00000139
222,ؿؤىفضد ؼدث طأذؿؾطج - مشخئ,ؿؤىفضد ؼدث طأذؿؾطج - مشخئ,1,0.00000139
223,هؠذ ؾوصؽم رقلؼؿ - ؿبشث,هؠذ ؾوصؽم رقلؼؿ - ؿبشث,1,0.00000139
224,توقف مركبة في شارع المغادرين,توقف مركبة في شارع المغادرين,1,0.00000139
225,تدهور حافلة مدرسية - بسيط,تدهور حافلة مدرسية - بسيط,1,0.00000139
226,حادث صدم ترام- بليغ,حادث صدم ترام - بليغ,1,0.00000139
227,حادث تدهور دراجة,حادث تدهور دراجة,1,0.00000139
228,حادث ضد مجهول- بليغ,حادث ضد مجهول - بليغ,1,0.00000139
229,سقوط مركبة من على جسر- متوسط,سقوط مركبة من على جسر - متوسط,1,0.00000139
230,سقوط رافعة- متوسط,سقوط رافعة - متوسط,1,0.00000139
231,حادث دهس طفل-متوسط,حادث دهس طفل - متوسط,1,0.00000139
232,صدم قطار - بسيط,صدم قطار - بسيط,1,0.00000139
233,حادث تدهور باص مدرسة- بسيط,حادث تدهور باص مدرسة - بسيط,1,0.00000139
